id,10_a_please_judge_whether_this_sentence_is_prorussia,10_b_please_judge_whether_this_sentence_is_prowest,11_a_please_judge_whether_this_sentence_is_prorussia,11_b_please_judge_whether_this_sentence_is_prowest,12_a_please_judge_whether_this_sentence_is_prorussia,12_b_please_judge_whether_this_sentence_is_prowest,13_a_please_judge_whether_this_sentence_is_prorussia,13_b_please_judge_whether_this_sentence_is_prowest,14_a_please_judge_whether_this_sentence_is_prorussia,14_b_please_judge_whether_this_sentence_is_prowest,15_a_please_judge_whether_this_sentence_is_prorussia,15_b_please_judge_whether_this_sentence_is_prowest,16_a_please_judge_whether_this_sentence_is_prorussia,16_b_please_judge_whether_this_sentence_is_prowest,17_a_please_judge_whether_this_sentence_is_prorussia,17_b_please_judge_whether_this_sentence_is_prowest,1_a_please_judge_whether_this_sentence_is_prorussia,1_b_please_judge_whether_this_sentence_is_prowest,2_a_please_judge_whether_this_sentence_is_prorussia,2_b_please_judge_whether_this_sentence_is_prowest,3_a_please_judge_whether_this_sentence_is_prorussia,3_b_please_judge_whether_this_sentence_is_prowest,4_a_please_judge_whether_this_sentence_is_prorussia,4_b_please_judge_whether_this_sentence_is_prowest,5_a_please_judge_whether_this_sentence_is_prorussia,5_b_please_judge_whether_this_sentence_is_prowest,6_a_please_judge_whether_this_sentence_is_prorussia,6_b_please_judge_whether_this_sentence_is_prowest,7_a_please_judge_whether_this_sentence_is_prorussia,7_b_please_judge_whether_this_sentence_is_prowest,8_a_please_judge_whether_this_sentence_is_prorussia,8_b_please_judge_whether_this_sentence_is_prowest,9_a_please_judge_whether_this_sentence_is_prorussia,9_b_please_judge_whether_this_sentence_is_prowest,article_id,event,sent_0,sent_1,sent_10,sent_11,sent_12,sent_13,sent_14,sent_15,sent_2,sent_3,sent_4,sent_5,sent_6,sent_7,sent_8,sent_9,title,_unit_id,_created_at,_golden,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip
5546330944,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ukr_621,Annexation of Crimea,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.","The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.","""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.","""In the last two weeks of February around 143,000 people have applied.",That puts great pressure on the regions bordering Ukraine.,"People are bewildered, frightened and despondent,"" she said.",She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine,2701794335,3/30/2020 11:12:57,false,,3/30/2020 11:09:58,false,feca,0.2857,45435813,VEN,25,Caracas,190.72.176.235
5546331834,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ukr_621,Annexation of Crimea,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.","The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.","""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.","""In the last two weeks of February around 143,000 people have applied.",That puts great pressure on the regions bordering Ukraine.,"People are bewildered, frightened and despondent,"" she said.",She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine,2701794335,3/30/2020 11:14:07,false,,3/30/2020 11:13:05,false,feca,0.2857,45541954,VEN,25,Caracas,186.167.250.38
5546333168,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ukr_621,Annexation of Crimea,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.","The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.","""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.","""In the last two weeks of February around 143,000 people have applied.",That puts great pressure on the regions bordering Ukraine.,"People are bewildered, frightened and despondent,"" she said.",She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine,2701794335,3/30/2020 11:16:02,false,,3/30/2020 11:11:22,false,clixsense,0.2857,44812982,TUR,71,Konya,176.240.100.89
5546334305,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ukr_621,Annexation of Crimea,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.","The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.","""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.","""In the last two weeks of February around 143,000 people have applied.",That puts great pressure on the regions bordering Ukraine.,"People are bewildered, frightened and despondent,"" she said.",She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine,2701794335,3/30/2020 11:17:48,false,,3/30/2020 11:15:10,false,neodev,0.2857,45604472,USA,AZ,Phoenix,23.81.55.20
5546335160,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ukr_621,Annexation of Crimea,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.","The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.","""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.","""In the last two weeks of February around 143,000 people have applied.",That puts great pressure on the regions bordering Ukraine.,"People are bewildered, frightened and despondent,"" she said.",She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine,2701794335,3/30/2020 11:19:07,false,,3/30/2020 11:15:53,false,feca,0.2857,45710263,USA,MO,Saint Louis,65.175.106.2
5546335741,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ukr_621,Annexation of Crimea,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.","The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.","""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.","""In the last two weeks of February around 143,000 people have applied.",That puts great pressure on the regions bordering Ukraine.,"People are bewildered, frightened and despondent,"" she said.",She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine,2701794335,3/30/2020 11:20:08,false,,3/30/2020 11:19:33,false,feca,0.2857,45162341,VEN,25,Caracas,190.205.175.45
5546335947,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ukr_621,Annexation of Crimea,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.","The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.","""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.","""In the last two weeks of February around 143,000 people have applied.",That puts great pressure on the regions bordering Ukraine.,"People are bewildered, frightened and despondent,"" she said.",She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine,2701794335,3/30/2020 11:20:27,false,,3/30/2020 11:19:15,false,feca,0.2857,45259794,VEN,25,Caracas,190.205.175.45
5546330943,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,ukr_452,Euromaidan,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,Ukraine is a friendly country for Armenia.,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev,2701794336,3/30/2020 11:12:57,false,,3/30/2020 11:09:58,false,feca,0.2857,45435813,VEN,25,Caracas,190.72.176.235
5546331837,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,ukr_452,Euromaidan,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,Ukraine is a friendly country for Armenia.,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev,2701794336,3/30/2020 11:14:07,false,,3/30/2020 11:13:05,false,feca,0.2857,45541954,VEN,25,Caracas,186.167.250.38
5546333167,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,ukr_452,Euromaidan,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,Ukraine is a friendly country for Armenia.,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev,2701794336,3/30/2020 11:16:02,false,,3/30/2020 11:11:22,false,clixsense,0.2857,44812982,TUR,71,Konya,176.240.100.89
