id,10_a_please_rate_the_representation_of_the_russian_government,10_b_please_rate_the_representation_of_the_ukrainian_government,10_c_please_rate_the_representation_of_the_western_governments,11_a_please_rate_the_representation_of_the_russian_government,11_b_please_rate_the_representation_of_the_ukrainian_government,11_c_please_rate_the_representation_of_the_western_governments,12_a_please_rate_the_representation_of_the_russian_government,12_b_please_rate_the_representation_of_the_ukrainian_government,12_c_please_rate_the_representation_of_the_western_governments,13_a_please_rate_the_representation_of_the_russian_government,13_b_please_rate_the_representation_of_the_ukrainian_government,13_c_please_rate_the_representation_of_the_western_governments,14_a_please_rate_the_representation_of_the_russian_government,14_b_please_rate_the_representation_of_the_ukrainian_government,14_c_please_rate_the_representation_of_the_western_governments,15_a_please_rate_the_representation_of_the_russian_government,15_b_please_rate_the_representation_of_the_ukrainian_government,15_c_please_rate_the_representation_of_the_western_governments,16_a_please_rate_the_representation_of_the_russian_government,16_b_please_rate_the_representation_of_the_ukrainian_government,16_c_please_rate_the_representation_of_the_western_governments,17_a_please_rate_the_representation_of_the_russian_government,17_b_please_rate_the_representation_of_the_ukrainian_government,17_c_please_rate_the_representation_of_the_western_governments,1_a_please_rate_the_representation_of_the_russian_government,1_b_please_rate_the_representation_of_the_ukrainian_government,1_c_please_rate_the_representation_of_the_western_governments,2_a_please_rate_the_representation_of_the_russian_government,2_b_please_rate_the_representation_of_the_ukrainian_government,2_c_please_rate_the_representation_of_the_western_governments,3_a_please_rate_the_representation_of_the_russian_government,3_b_please_rate_the_representation_of_the_ukrainian_government,3_c_please_rate_the_representation_of_the_western_governments,4_a_please_rate_the_representation_of_the_russian_government,4_b_please_rate_the_representation_of_the_ukrainian_government,4_c_please_rate_the_representation_of_the_western_governments,5_a_please_rate_the_representation_of_the_russian_government,5_b_please_rate_the_representation_of_the_ukrainian_government,5_c_please_rate_the_representation_of_the_western_governments,6_a_please_rate_the_representation_of_the_russian_government,6_b_please_rate_the_representation_of_the_ukrainian_government,6_c_please_rate_the_representation_of_the_western_governments,7_a_please_rate_the_representation_of_the_russian_government,7_b_please_rate_the_representation_of_the_ukrainian_government,7_c_please_rate_the_representation_of_the_western_governments,8_a_please_rate_the_representation_of_the_russian_government,8_b_please_rate_the_representation_of_the_ukrainian_government,8_c_please_rate_the_representation_of_the_western_governments,9_a_please_rate_the_representation_of_the_russian_government,9_b_please_rate_the_representation_of_the_ukrainian_government,9_c_please_rate_the_representation_of_the_western_governments,orig__golden,article_id,event,sent_0,sent_1,sent_10,sent_11,sent_12,sent_13,sent_14,sent_15,sent_16,sent_17,sent_18,sent_19,sent_2,sent_20,sent_21,sent_22,sent_23,sent_24,sent_25,sent_26,sent_27,sent_28,sent_29,sent_3,sent_30,sent_31,sent_32,sent_33,sent_34,sent_35,sent_36,sent_37,sent_38,sent_39,sent_4,sent_40,sent_41,sent_42,sent_43,sent_44,sent_45,sent_46,sent_47,sent_48,sent_49,sent_5,sent_50,sent_51,sent_52,sent_53,sent_54,sent_55,sent_56,sent_57,sent_58,sent_59,sent_6,sent_60,sent_61,sent_62,sent_63,sent_64,sent_65,sent_66,sent_67,sent_68,sent_69,sent_7,sent_70,sent_71,sent_72,sent_73,sent_74,sent_75,sent_76,sent_77,sent_78,sent_79,sent_8,sent_80,sent_9,title,_unit_id,_created_at,_golden,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip
5401675101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,,,,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.",,,,,,,,,,,"The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.",,,,,,,,,,,"""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.",,,,,,,,,,,"""In the last two weeks of February around 143,000 people have applied.",,,,,,,,,,,That puts great pressure on the regions bordering Ukraine.,,,,,,,,,,,"People are bewildered, frightened and despondent,"" she said.",,,,,,,,,,,She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine,2591109373,1/10/2020 16:53:59,false,,1/10/2020 16:53:41,false,feca,0.6667,45353089,VEN,25,Caracas,186.167.249.109
5401675717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,,,,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.",,,,,,,,,,,"The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.",,,,,,,,,,,"""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.",,,,,,,,,,,"""In the last two weeks of February around 143,000 people have applied.",,,,,,,,,,,That puts great pressure on the regions bordering Ukraine.,,,,,,,,,,,"People are bewildered, frightened and despondent,"" she said.",,,,,,,,,,,She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine,2591109373,1/10/2020 16:54:22,false,,1/10/2020 16:53:30,false,feca,0.6667,45237262,VEN,25,Caracas,186.167.250.15
5401677497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,,,,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.",,,,,,,,,,,"The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.",,,,,,,,,,,"""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.",,,,,,,,,,,"""In the last two weeks of February around 143,000 people have applied.",,,,,,,,,,,That puts great pressure on the regions bordering Ukraine.,,,,,,,,,,,"People are bewildered, frightened and despondent,"" she said.",,,,,,,,,,,She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine,2591109373,1/10/2020 16:55:21,false,,1/10/2020 16:53:50,false,clixsense,0.6667,45570330,COL,34,Bogota,181.53.12.133
5401679591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,,,,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.",,,,,,,,,,,"The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.",,,,,,,,,,,"""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.",,,,,,,,,,,"""In the last two weeks of February around 143,000 people have applied.",,,,,,,,,,,That puts great pressure on the regions bordering Ukraine.,,,,,,,,,,,"People are bewildered, frightened and despondent,"" she said.",,,,,,,,,,,She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine,2591109373,1/10/2020 16:56:24,false,,1/10/2020 16:55:05,false,feca,0.6667,45185714,VEN,4,Maracay,186.92.73.152
5401681250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,,,,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.",,,,,,,,,,,"The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.",,,,,,,,,,,"""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.",,,,,,,,,,,"""In the last two weeks of February around 143,000 people have applied.",,,,,,,,,,,That puts great pressure on the regions bordering Ukraine.,,,,,,,,,,,"People are bewildered, frightened and despondent,"" she said.",,,,,,,,,,,She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine,2591109373,1/10/2020 16:57:18,false,,1/10/2020 16:56:35,false,feca,0.6667,45174125,VEN,16,Alto De Los Godos,190.198.162.131
5401676062,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,,,,,,,,,,,Ukraine is a friendly country for Armenia.,,,,,,,,,,,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev,2591109374,1/10/2020 16:54:35,false,,1/10/2020 16:54:20,false,feca,0.6667,45353089,VEN,25,Caracas,186.167.249.109
5401676966,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,,,,,,,,,,,Ukraine is a friendly country for Armenia.,,,,,,,,,,,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev,2591109374,1/10/2020 16:55:06,false,,1/10/2020 16:54:33,false,feca,0.6667,45237262,VEN,25,Caracas,186.167.250.15
5401680693,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,,,,,,,,,,,Ukraine is a friendly country for Armenia.,,,,,,,,,,,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev,2591109374,1/10/2020 16:56:58,false,,1/10/2020 16:56:14,false,clixsense,0.6667,45570330,COL,34,Bogota,181.53.12.133
5401681651,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,,,,,,,,,,,Ukraine is a friendly country for Armenia.,,,,,,,,,,,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev,2591109374,1/10/2020 16:57:33,false,,1/10/2020 16:56:58,false,feca,0.6667,45362199,USA,FL,Miami,173.44.36.158
5401681968,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,,,,,,,,,,,Ukraine is a friendly country for Armenia.,,,,,,,,,,,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev,2591109374,1/10/2020 16:57:46,false,,1/10/2020 16:56:26,false,feca,0.6667,45185714,VEN,4,Maracay,186.92.73.152
