_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,10_are_there_hidden_assumptions_present,11_are_there_hidden_assumptions_present,12_are_there_hidden_assumptions_present,13_are_there_hidden_assumptions_present,14_are_there_hidden_assumptions_present,15_are_there_hidden_assumptions_present,16_are_there_hidden_assumptions_present,17_are_there_hidden_assumptions_present,1_are_there_hidden_assumptions_present,2_are_there_hidden_assumptions_present,3_are_there_hidden_assumptions_present,4_are_there_hidden_assumptions_present,5_are_there_hidden_assumptions_present,6_are_there_hidden_assumptions_present,7_are_there_hidden_assumptions_present,8_are_there_hidden_assumptions_present,9_are_there_hidden_assumptions_present,10_are_there_hidden_assumptions_present_gold,11_are_there_hidden_assumptions_present_gold,12_are_there_hidden_assumptions_present_gold,13_are_there_hidden_assumptions_present_gold,14_are_there_hidden_assumptions_present_gold,15_are_there_hidden_assumptions_present_gold,16_are_there_hidden_assumptions_present_gold,17_are_there_hidden_assumptions_present_gold,1_are_there_hidden_assumptions_present_gold,2_are_there_hidden_assumptions_present_gold,3_are_there_hidden_assumptions_present_gold,4_are_there_hidden_assumptions_present_gold,5_are_there_hidden_assumptions_present_gold,6_are_there_hidden_assumptions_present_gold,7_are_there_hidden_assumptions_present_gold,8_are_there_hidden_assumptions_present_gold,9_are_there_hidden_assumptions_present_gold,orig__golden,article_id,event,sent_0,sent_1,sent_10,sent_11,sent_12,sent_13,sent_14,sent_15,sent_2,sent_3,sent_4,sent_5,sent_6,sent_7,sent_8,sent_9,title
2591086210,1/8/2020 10:30:34,false,5397430148,,1/8/2020 10:30:14,false,feca,0.5714,45599670,USA,"","",174.128.180.227,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.","The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.","""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.","""In the last two weeks of February around 143,000 people have applied.",That puts great pressure on the regions bordering Ukraine.,"People are bewildered, frightened and despondent,"" she said.",She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine
2591086210,1/8/2020 10:36:19,false,5397434591,,1/8/2020 10:34:02,false,neodev,0.4286,32671231,ROU,30,Ploiesti,82.79.146.231,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.","The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.","""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.","""In the last two weeks of February around 143,000 people have applied.",That puts great pressure on the regions bordering Ukraine.,"People are bewildered, frightened and despondent,"" she said.",She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine
2591086210,1/8/2020 10:39:13,false,5397436957,,1/8/2020 10:37:22,false,feca,0.7143,45599047,USA,"","",174.128.181.137,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.","The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.","""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.","""In the last two weeks of February around 143,000 people have applied.",That puts great pressure on the regions bordering Ukraine.,"People are bewildered, frightened and despondent,"" she said.",She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine
2591086210,1/8/2020 10:39:19,false,5397437055,,1/8/2020 10:37:44,false,feca,0.7143,45164629,IDN,08,Surabaya,36.82.102.145,3,0,3,3,3,0,,,3,0,3,3,0,3,0,3,3,,,,,,,,,,,,,,,,,,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.","The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.","""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.","""In the last two weeks of February around 143,000 people have applied.",That puts great pressure on the regions bordering Ukraine.,"People are bewildered, frightened and despondent,"" she said.",She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine
2591086210,1/8/2020 11:28:41,false,5397481369,,1/8/2020 11:22:51,false,clixsense,0.6,45354866,USA,NJ,Clifton,45.55.190.76,3,3,3,3,3,3,,,3,3,3,3,0,3,3,3,3,,,,,,,,,,,,,,,,,,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.","The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.","""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.","""In the last two weeks of February around 143,000 people have applied.",That puts great pressure on the regions bordering Ukraine.,"People are bewildered, frightened and despondent,"" she said.",She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine
2591086211,1/8/2020 10:31:36,false,5397430991,,1/8/2020 10:31:13,false,feca,0.5714,45599670,USA,"","",174.128.180.227,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,Ukraine is a friendly country for Armenia.,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev
2591086211,1/8/2020 10:38:35,false,5397436353,,1/8/2020 10:37:21,false,neodev,0.4286,32671231,ROU,30,Ploiesti,82.79.146.231,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,Ukraine is a friendly country for Armenia.,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev
2591086211,1/8/2020 10:39:24,false,5397437169,,1/8/2020 10:39:00,false,feca,0.7143,45446770,USA,NY,Staten Island,173.56.21.221,,,,,,,,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,Ukraine is a friendly country for Armenia.,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev
2591086211,1/8/2020 10:39:54,false,5397437604,,1/8/2020 10:39:15,false,feca,0.7143,45599047,USA,"","",174.128.181.137,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,Ukraine is a friendly country for Armenia.,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev
2591086211,1/8/2020 10:41:24,false,5397438677,,1/8/2020 10:38:10,false,instagc,0.4286,45351233,GBR,I3,Gillingham,94.9.13.141,,,,,,,,,3,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,Ukraine is a friendly country for Armenia.,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev
