_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,10_please_rate_subjectivity_of_the_given_sentence,11_please_rate_subjectivity_of_the_given_sentence,12_please_rate_subjectivity_of_the_given_sentence,13_please_rate_subjectivity_of_the_given_sentence,14_please_rate_subjectivity_of_the_given_sentence,15_please_rate_subjectivity_of_the_given_sentence,16_please_rate_subjectivity_of_the_given_sentence,17_please_rate_subjectivity_of_the_given_sentence,1_please_rate_subjectivity_of_the_given_sentence,2_please_rate_subjectivity_of_the_given_sentence,3_please_rate_subjectivity_of_the_given_sentence,4_please_rate_subjectivity_of_the_given_sentence,5_please_rate_subjectivity_of_the_given_sentence,6_please_rate_subjectivity_of_the_given_sentence,7_please_rate_subjectivity_of_the_given_sentence,8_please_rate_subjectivity_of_the_given_sentence,9_please_rate_subjectivity_of_the_given_sentence,10_please_rate_subjectivity_of_the_given_sentence_gold,11_please_rate_subjectivity_of_the_given_sentence_gold,12_please_rate_subjectivity_of_the_given_sentence_gold,13_please_rate_subjectivity_of_the_given_sentence_gold,14_please_rate_subjectivity_of_the_given_sentence_gold,15_please_rate_subjectivity_of_the_given_sentence_gold,16_please_rate_subjectivity_of_the_given_sentence_gold,17_please_rate_subjectivity_of_the_given_sentence_gold,1_please_rate_subjectivity_of_the_given_sentence_gold,2_please_rate_subjectivity_of_the_given_sentence_gold,3_please_rate_subjectivity_of_the_given_sentence_gold,4_please_rate_subjectivity_of_the_given_sentence_gold,5_please_rate_subjectivity_of_the_given_sentence_gold,6_please_rate_subjectivity_of_the_given_sentence_gold,7_please_rate_subjectivity_of_the_given_sentence_gold,8_please_rate_subjectivity_of_the_given_sentence_gold,9_please_rate_subjectivity_of_the_given_sentence_gold,orig__golden,article_id,event,sent_0,sent_1,sent_10,sent_11,sent_12,sent_13,sent_14,sent_15,sent_16,sent_17,sent_18,sent_19,sent_2,sent_20,sent_21,sent_22,sent_23,sent_24,sent_25,sent_26,sent_27,sent_28,sent_29,sent_3,sent_30,sent_31,sent_32,sent_33,sent_34,sent_35,sent_36,sent_37,sent_38,sent_39,sent_4,sent_40,sent_41,sent_42,sent_43,sent_44,sent_45,sent_46,sent_47,sent_48,sent_49,sent_5,sent_50,sent_51,sent_52,sent_53,sent_54,sent_55,sent_56,sent_57,sent_58,sent_59,sent_6,sent_60,sent_61,sent_62,sent_63,sent_64,sent_65,sent_66,sent_67,sent_68,sent_69,sent_7,sent_70,sent_71,sent_72,sent_73,sent_74,sent_75,sent_76,sent_77,sent_78,sent_79,sent_8,sent_80,sent_9,title
2590599336,1/8/2020 08:55:31,false,5397361390,,1/8/2020 08:52:27,false,clixsense,0.7143,45601756,USA,FL,Saint Petersburg,72.187.235.121,1,1,1,1,1,-1,,,1,1,1,1,1,1,1,1,-1,,,,,,,,,,,,,,,,,,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,,,,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.",,,,,,,,,,,"The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.",,,,,,,,,,,"""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.",,,,,,,,,,,"""In the last two weeks of February around 143,000 people have applied.",,,,,,,,,,,That puts great pressure on the regions bordering Ukraine.,,,,,,,,,,,"People are bewildered, frightened and despondent,"" she said.",,,,,,,,,,,She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine
2590599336,1/8/2020 08:57:00,false,5397361970,,1/8/2020 08:55:41,false,neodev,0.8571,44250612,VEN,05,Barinas,200.109.192.22,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,,,,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.",,,,,,,,,,,"The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.",,,,,,,,,,,"""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.",,,,,,,,,,,"""In the last two weeks of February around 143,000 people have applied.",,,,,,,,,,,That puts great pressure on the regions bordering Ukraine.,,,,,,,,,,,"People are bewildered, frightened and despondent,"" she said.",,,,,,,,,,,She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine
2590599336,1/8/2020 09:01:35,false,5397364103,,1/8/2020 08:57:48,false,neodev,0.7143,32671231,ROU,30,Ploiesti,82.79.146.231,-2,-2,-2,-2,-2,2,,,-2,2,-2,-2,2,2,2,-2,-2,,,,,,,,,,,,,,,,,,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,,,,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.",,,,,,,,,,,"The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.",,,,,,,,,,,"""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.",,,,,,,,,,,"""In the last two weeks of February around 143,000 people have applied.",,,,,,,,,,,That puts great pressure on the regions bordering Ukraine.,,,,,,,,,,,"People are bewildered, frightened and despondent,"" she said.",,,,,,,,,,,She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine
2590599336,1/8/2020 09:02:39,false,5397364738,,1/8/2020 09:00:01,false,feca,0.7143,45417357,USA,GA,Atlanta,107.150.23.212,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,,,,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.",,,,,,,,,,,"The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.",,,,,,,,,,,"""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.",,,,,,,,,,,"""In the last two weeks of February around 143,000 people have applied.",,,,,,,,,,,That puts great pressure on the regions bordering Ukraine.,,,,,,,,,,,"People are bewildered, frightened and despondent,"" she said.",,,,,,,,,,,She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine
2590599336,1/8/2020 09:20:20,false,5397374444,,1/8/2020 09:15:25,false,clixsense,0.7143,45582931,USA,NJ,Clifton,104.236.195.72,-2,2,-2,-2,2,2,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,ukr_621,Annexation of Crimea;,"Russia says 143,000 Ukrainians have already left Ukraine for Russia.","Thousands of Ukrainians are fleeing across the border into Russia as pro-Russian forces defy the new interim government and the conflict threatens to escalate, Russian officials say.","The governor of Bryansk region, Nikolai Denin, told ITAR-TASS he observed ""an influx of Ukrainian citizens who want to stay in Russia until the situation normalises in their country.""","The governor of the Rostov region Vasily Golubev said he also saw a ""significant inflow of Ukrainian citizens.""","The governor of the Belgorod region, Yevgeny Savchenko, said that ""thousands of good people are coming to the Belgorod region, not only from southeastern Ukraine but also from its central region, escaping from the lawlessness of rebels who seized power in Kiev.""","Ukraine has a population of around 46 million, while Crimea, where pro-Kremlin militia have taken control, has around two million residents.",,,,,,,"""According to the border services, since the beginning of the events in Ukraine, 143,000 people have already left Ukraine for Russia,"" the Senate's deputy speaker Yevgeny Bushmin said in a televised speech on Saturday as the upper house voted to approve military intervention.",,,,,,,,,,,"The head of the citizenship department of the Federal Migration Service, Valentina Kazakova, confirmed the number to journalists.",,,,,,,,,,,"""The tragic events in Ukraine have sharply increased the number of applications to regional migration authorities,"" she said, quoted by the ITAR-TASS news agency.",,,,,,,,,,,"""In the last two weeks of February around 143,000 people have applied.",,,,,,,,,,,That puts great pressure on the regions bordering Ukraine.,,,,,,,,,,,"People are bewildered, frightened and despondent,"" she said.",,,,,,,,,,,She said that Ukrainians who already live in Russia were also applying for citizenship in greater numbers than usual.,,The governors of three of the five Russian regions bordering Ukraine told ITAR-TASS news agency that thousands were arriving across the frontier.,Russia claims thousands fleeing Ukraine
2590599337,1/8/2020 09:01:37,false,5397364123,,1/8/2020 09:01:24,false,feca,0.7143,45446770,USA,NY,Staten Island,173.56.21.221,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,,,,,,,,,,,Ukraine is a friendly country for Armenia.,,,,,,,,,,,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev
2590599337,1/8/2020 09:04:16,false,5397365486,,1/8/2020 09:01:57,false,neodev,0.7143,32671231,ROU,30,Ploiesti,82.79.146.231,,,,,,,,,-2,-2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,,,,,,,,,,,Ukraine is a friendly country for Armenia.,,,,,,,,,,,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev
2590599337,1/8/2020 09:04:47,false,5397365721,,1/8/2020 08:56:04,false,clixsense,0.7143,45601756,USA,FL,Saint Petersburg,72.187.235.121,,,,,,,,,-1,1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,,,,,,,,,,,Ukraine is a friendly country for Armenia.,,,,,,,,,,,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev
2590599337,1/8/2020 09:05:37,false,5397366210,,1/8/2020 09:03:48,false,feca,0.7143,45417357,USA,GA,Atlanta,107.150.23.212,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,,,,,,,,,,,Ukraine is a friendly country for Armenia.,,,,,,,,,,,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev
2590599337,1/8/2020 09:10:33,false,5397369157,,1/8/2020 09:08:45,false,neodev,0.8571,44250612,VEN,05,Barinas,200.109.192.22,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,ukr_452,Euromaidan;,"Armenia regrets the latest spate of violence in Ukraine resulting in dozens of victims, a Foreign Ministry spokesman said on Wednesday.",In comments to the state-run Armenpress news agency Tigran Balayan spoke about Yerevan’s attitude towards the events in Kiev where at least 26 people were killed and hundreds were injured as a result of clashes between anti-government protesters and security forces.,,,,,,,,,,,“We deeply regret the tens of victims as a result of clashes in Kiev.,,,,,,,,,,,Ukraine is a friendly country for Armenia.,,,,,,,,,,,"We hope that the sides will resume talks to achieve a peaceful settlement of contentious issues,” the Foreign Ministry spokesman said.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armenia hopes for Ukraine peace after deadly clashes in Kiev
